name,iata,icao,lat,lon,country,alt
Hengyang Nanyue Airport,HNY,ZGHY,26.721945,112.618057,China,5167
Heraklion International Airport,HER,LGIR,35.33971,25.18029,Greece,115
Herat International Airport,HEA,OAHR,34.209999,62.228329,Afghanistan,3206
Heringsdorf Airport,HDF,EDAH,53.87825,14.138242,Germany,93
Hermosillo International Airport,HMO,MMHO,29.09585,-111.046997,Mexico,627
Hervey Bay Airport,HVB,YHBA,-25.3188,152.880203,Australia,60
Hibbing Range Regional Airport,HIB,KHIB,47.386589,-92.838898,United States,1354
Hickory Regional,HKY,KHKY,35.741138,-81.389503,United States,1190
High Level Airport,YOJ,CYOJ,58.62138,-117.164001,Canada,1110
High Wycombe Booker Airfield,HYC,EGTB,51.611698,-0.808333,United Kingdom,515
Hihifo Airport,WLS,NLWW,-13.2383,-176.197998,Wallis And Futuna,75
Hildesheim Airport,ZNO,EDVM,52.18111,9.946944,Germany,292
Hilo International Airport,ITO,PHTO,19.720261,-155.048004,United States,38
Hilton Head Island Airport,HHH,KHXD,32.220001,-80.690002,United States,19
Hiroshima Airport,HIJ,RJOA,34.436111,132.919403,Japan,1088
Ho Chi Minh City International Airport,SGN,VVTS,10.81879,106.651802,Vietnam,33
Hobart International Airport,HBA,YMHB,-42.836102,147.510193,Australia,13
Hobbs Lea County Regional Airport,HOB,KHOB,32.687519,-103.217003,United States,3660
Hoedspruit Airport,HDS,FAHS,-24.368601,31.04874,South Africa,1743
Hof Plauen Airport,HOQ,EDQM,50.28883,11.85491,Germany,1960
Hofn Hornafjordur Airport,HFN,BIHN,64.295547,-15.2272,Iceland,24
Hofuf Al-Ahsa International Airport,HOF,OEAH,25.294783,49.487461,Saudi Arabia,588
Hohenems Dornbirn Airport,HOH,LOIH,47.384998,9.7,Austria,1352
Hohhot Baita International Airport,HET,ZBHH,40.851421,111.824097,China,3556
Hokitika Airport,HKK,NZHK,-42.7136,170.985199,New Zealand,146
Holguin Frank Pais Airport,HOG,MUHG,20.78558,-76.315102,Cuba,361
Holingol Huolinhe Airport,HUO,ZBHZ,47.316666,123.916664,China,-1
Hollywood North Perry Airport,HWO,KHWO,26.001221,-80.2407,United States,8
Holy Cross Airport,HCR,PAHC,62.190693,-159.773468,United States,69
Homer Airport,HOM,PAHO,59.64555,-151.475998,United States,84
Hommalinn Airport,HOX,VYHL,24.899599,94.914001,Myanmar (Burma),534
Hong Kong International Airport,HKG,VHHH,22.309616,113.916237,Hong Kong,28
Honiara International Airport,HIR,AGGH,-9.428,160.054703,Solomon Islands,28
